Date,MSCI Pacific
1969-12,100.0
1970-01,98.145039
1970-02,98.800802
1970-03,101.302417
1970-04,89.900544
1970-05,86.499156
1970-06,91.021571
1970-07,92.347399
1970-08,91.65889
1970-09,91.005372
1970-10,88.906451
1970-11,86.137628
1970-12,87.248334
1971-01,90.091806
1971-02,92.062029
1971-03,98.528927
1971-04,101.388305
1971-05,100.80132
1971-06,108.786934
1971-07,108.131587
1971-08,103.758297
1971-09,104.262722
1971-10,101.462642
1971-11,104.180566
1971-12,120.052977
1972-01,125.952697
1972-02,137.272459
1972-03,144.372741
1972-04,150.124328
1972-05,161.165761
1972-06,167.335565
1972-07,177.42053
1972-08,180.122548
1972-09,185.980563
1972-10,196.058326
1972-11,225.08748
1972-12,247.798225
1973-01,256.337741
1973-02,288.859405
1973-03,282.017389
1973-04,242.210766
1973-05,251.490203
1973-06,251.937271
1973-07,265.429565
1973-08,248.207741
1973-09,235.761606
1973-10,238.688486
1973-11,206.904292
1973-12,194.954278
1974-01,198.56975
1974-02,205.519313
1974-03,204.776873
1974-04,204.625005
1974-05,209.199501
1974-06,201.293697
1974-07,179.238232
1974-08,160.39773
1974-09,154.769278
1974-10,147.534509
1974-11,159.275048
1974-12,153.079806
1975-01,166.37052
1975-02,188.422067
1975-03,192.688955
1975-04,193.620467
1975-05,194.444382
1975-06,194.989558
1975-07,185.438864
1975-08,177.638265
1975-09,169.966094
1975-10,185.892933
1975-11,189.052865
1975-12,192.675251
1976-01,205.596373
1976-02,207.794517
1976-03,207.214541
1976-04,208.333823
1976-05,208.680063
1976-06,217.76625
1976-07,216.787977
1976-08,223.2435
1976-09,221.791331
1976-10,210.029411
1976-11,203.337735
1976-12,232.989603
1977-01,227.155644
1977-02,235.670352
1977-03,234.549489
1977-04,238.458517
1977-05,237.8687
1977-06,245.861808
1977-07,241.680254
1977-08,251.588795
1977-09,254.08079
1977-10,259.798312
1977-11,260.010328
1977-12,263.33548
1978-01,271.464492
1978-02,279.173692
1978-03,313.084595
1978-04,313.166671
1978-05,317.436254
1978-06,346.611491
1978-07,380.385025
1978-08,381.479333
1978-09,387.439047
1978-10,413.869322
1978-11,372.243577
1978-12,389.704944
1979-01,392.111248
1979-02,378.889684
1979-03,368.193905
1979-04,357.573637
1979-05,364.065124
1979-06,364.572946
1979-07,366.575367
1979-08,371.74345
1979-09,383.965943
1979-10,357.914524
1979-11,347.804375
1979-12,374.216436
1980-01,390.70574
1980-02,380.260542
1980-03,357.324531
1980-04,387.317189
1980-05,413.976647
1980-06,435.869452
1980-07,422.689399
1980-08,449.962374
1980-09,474.420717
1980-10,497.146408
1980-11,482.175606
1980-12,507.869381
1981-01,512.779579
1981-02,503.362784
1981-03,528.815355
1981-04,560.565772
1981-05,554.385554
1981-06,571.09254
1981-07,541.998956
1981-08,552.142747
1981-09,494.17325
1981-10,492.839409
1981-11,542.462457
1981-12,547.579487
1982-01,533.886946
1982-02,488.318383
1982-03,444.661214
1982-04,487.499092
1982-05,475.299489
1982-06,441.797623
1982-07,423.016235
1982-08,420.592751
1982-09,405.484979
1982-10,403.174596
1982-11,461.994671
1982-12,511.140906
1983-01,501.693963
1983-02,510.349245
1983-03,524.457884
1983-04,542.076874
1983-05,541.954026
1983-06,556.487094
1983-07,565.920545
1983-08,559.491679
1983-09,591.504541
1983-10,590.550469
1983-11,601.297477
1983-12,643.907502
1984-01,674.692772
1984-02,668.881048
1984-03,770.301959
1984-04,755.696761
1984-05,662.818654
1984-06,662.266089
1984-07,620.651881
1984-08,673.279813
1984-09,670.62849
1984-10,699.084364
1984-11,704.919959
1984-12,728.482754
1985-01,729.889532
1985-02,745.042096
1985-03,782.938307
1985-04,761.251543
1985-05,787.727673
1985-06,816.958933
1985-07,831.278179
1985-08,844.321456
1985-09,925.366627
1985-10,955.666659
1985-11,963.709876
1985-12,1012.786916
1986-01,1043.899396
1986-02,1151.757
1986-03,1376.981
1986-04,1435.41
1986-05,1428.018092
1986-06,1554.02005
1986-07,1735.018266
1986-08,1890.201339
1986-09,1941.955714
1986-10,1720.977012
1986-11,1825.271061
1986-12,1959.11446
1987-01,2252.472528
1987-02,2311.822398
1987-03,2550.191603
1987-04,2925.099578
1987-05,2934.214097
1987-06,2741.334215
1987-07,2676.578242
1987-08,2994.626346
1987-09,2907.963198
1987-10,2591.736795
1987-11,2694.595889
1987-12,2736.001662
1988-01,2871.751779
1988-02,3074.351563
1988-03,3313.898908
1988-04,3355.772127
1988-05,3227.72936
1988-06,3118.022796
1988-07,3259.662891
1988-08,3018.380244
1988-09,3134.921754
1988-10,3392.600646
1988-11,3672.584011
1988-12,3693.410329
1989-01,3727.362127
1989-02,3774.988557
1989-03,3655.093683
1989-04,3657.255234
1989-05,3452.848277
1989-06,3298.956141
1989-07,3727.091219
1989-08,3496.501889
1989-09,3710.224983
1989-10,3610.902947
1989-11,3782.757912
1989-12,3786.912042
1990-01,3572.646563
1990-02,3225.925373
1990-03,2645.049439
1990-04,2662.775037
1990-05,3032.681962
1990-06,2910.525369
1990-07,2888.39067
1990-08,2612.864172
1990-09,2203.217172
1990-10,2679.232539
1990-11,2382.105609
1990-12,2483.497611
1991-01,2560.945667
1991-02,2876.563647
1991-03,2719.859394
1991-04,2789.754199
1991-05,2778.980291
1991-06,2597.423769
1991-07,2684.990373
1991-08,2548.826436
1991-09,2749.294033
1991-10,2866.261763
1991-11,2681.935587
1991-12,2764.2107733
1992-01,2657.1035985999997
1992-02,2470.9733972
1992-03,2235.9805893
1992-04,2133.4954936
1992-05,2299.9190711
1992-06,2119.0474186
1992-07,2089.5903859
1992-08,2375.8520614
1992-09,2321.4154242
1992-10,2239.4506338
1992-11,2281.684745
1992-12,2255.5688998
1993-01,2251.369727
1993-02,2360.5256289999998
1993-03,2645.6869189999998
1993-04,3067.201833
1993-05,3156.432761
1993-06,3104.684706
1993-07,3288.2396049999998
1993-08,3385.498267
1993-09,3258.880397
1993-10,3331.228395752178
1993-11,2861.216962129243
1993-12,3060.6704835989663
1994-01,3414.957691776984
1994-02,3502.995150751282
1994-03,3309.6255575283844
1994-04,3452.7352004738896
1994-05,3534.8725555896867
1994-06,3650.506585604094
1994-07,3572.1872795075114
1994-08,3634.269550904815
1994-09,3543.3081709670346
1994-10,3632.9340384387315
1994-11,3430.2076390983893
1994-12,3453.2875790045277
1995-01,3235.2044354995446
1995-02,3155.0778979778675
1995-03,3397.3097533617074
1995-04,3541.8014049601875
1995-05,3400.1352088316503
1995-06,3256.0383448699167
1995-07,3490.7941083377596
1995-08,3359.302185684542
1995-09,3390.420454696645
1995-10,3225.5605894908954
1995-11,3384.15259262002
1995-12,3549.3291008680153
1996-01,3555.348773271545
1996-02,3515.2297392552346
1996-03,3623.0415338115668
1996-04,3807.531801475662
1996-05,3642.3055622247634
1996-06,3643.0589714640223
1996-07,3475.660449583597
1996-08,3384.1565963988774
1996-09,3494.597666270266
1996-10,3332.3790709155774
1996-11,3422.8616136742558
1996-12,3244.9497188648456
1997-01,2971.908227947411
1997-02,3033.774089217945
1997-03,2922.5962923015513
1997-04,2983.32030923208
1997-05,3275.1351024255096
1997-06,3477.928424658802
1997-07,3394.747336256895
1997-08,3057.9915752784614
1997-09,3046.1961391325426
1997-10,2676.274191112727
1997-11,2528.90187748005
1997-12,2417.728721825259
1998-01,2548.7340415315703
1998-02,2640.114518460607
1998-03,2494.560165989124
1998-04,2445.080200042129
1998-05,2278.9724226623225
1998-06,2274.4347025274847
1998-07,2234.7471518972116
1998-08,1970.4943960923827
1998-09,1963.9715215855706
1998-10,2304.0017917967434
1998-11,2409.7429793433844
1998-12,2476.792385549182
1999-01,2494.556860649687
1999-02,2445.7412421370004
1999-03,2753.918800029463
1999-04,2937.9412555509803
1999-05,2762.805838461064
1999-06,3016.924939559891
1999-07,3246.53967640922
1999-08,3213.458933240047
1999-09,3361.623332319337
1999-10,3491.6655971698433
1999-11,3664.8853749960413
1999-12,3904.287238620267
2000-01,3715.832865104644
2000-02,3634.275823055498
2000-03,3886.3577667126815
2000-04,3616.134223299417
2000-05,3405.869403640041
2000-06,3668.5581670322595
2000-07,3319.3319908466465
2000-08,3500.015055007707
2000-09,3315.477157424849
2000-10,3125.125358339311
2000-11,3016.471926816213
2000-12,2897.6080232207646
2001-01,2888.989282911986
2001-02,2765.771559088627
2001-03,2633.60855120052
2001-04,2806.950619646687
2001-05,2796.451219480369
2001-06,2662.63257557727
2001-07,2489.7939929383933
2001-08,2430.9550915902573
2001-09,2175.572641898192
2001-10,2198.491647809308
2001-11,2261.5508363823865
2001-12,2161.5834186126003
2002-01,2041.4961891300381
2002-02,2096.112534008247
2002-03,2209.1172005800095
2002-04,2308.041080827056
2002-05,2429.2899621090323
2002-06,2302.291461086949
2002-07,2147.19644399438
2002-08,2131.7743145325644
2002-09,2025.690830562299
2002-10,1944.8613029233734
2002-11,2015.127274680431
2002-12,1960.763462732373
2003-01,1906.255268335432
2003-02,1907.7743166569558
2003-03,1849.2672140148868
2003-04,1866.25226449522
2003-05,1957.9098750257128
2003-06,2081.5936764472044
2003-07,2152.6924884767723
2003-08,2344.9686004022383
2003-09,2473.6368353519774
2003-10,2602.650922191126
2003-11,2541.261082227548
2003-12,2715.2677734232825
2004-01,2769.8810596156113
2004-02,2792.2334998918545
2004-03,3060.8719176575514
2004-04,2896.3527517376187
2004-05,2821.6035684775084
2004-06,2937.587476436275
2004-07,2810.6002989111735
2004-08,2846.643549085238
2004-09,2834.6926922149846
2004-10,2918.472569654012
2004-11,3084.1356490285325
2004-12,3230.5192622109957
2005-01,3172.721772644558
2005-02,3258.864491820342
2005-03,3177.3651518802
2005-04,3116.5118329528436
2005-05,3095.298341352495
2005-06,3132.7648511956118
2005-07,3186.9016648265874
2005-08,3345.0112523112825
2005-09,3648.120865077632
2005-10,3559.3640231195
2005-11,3703.514102456149
2005-12,3961.8469603881117
2006-01,4174.223869599288
2006-02,4139.611279666262
2006-03,4227.300835989219
2006-04,4400.846427912778
2006-05,4130.353206510974
2006-06,4101.605664132573
2006-07,4096.507778840569
2006-08,4173.997665903845
2006-09,4118.407387137176
2006-10,4242.889820038778
2006-11,4316.533297387632
2006-12,4445.19679351343
2007-01,4483.758034820713
2007-02,4635.841847994291
2007-03,4648.142019767374
2007-04,4649.469161948958
2007-05,4730.166497207038
2007-06,4751.396243243979
2007-07,4753.1362365433015
2007-08,4629.989600494613
2007-09,4907.94898084895
2007-10,5020.157454683068
2007-11,4845.095129635707
2007-12,4680.725286725936
2008-01,4378.71896839708
2008-02,4424.610369488955
2008-03,4232.955264316093
2008-04,4551.766918571187
2008-05,4650.521712118668
2008-06,4323.8821173734605
2008-07,4153.767981202288
2008-08,3974.97632029988
2008-09,3454.929953653518
2008-10,2836.770050733581
2008-11,2768.3413272630264
2008-12,2975.898787103397
2009-01,2754.321099357477
2009-02,2466.6332536862783
2009-03,2595.8830496432374
2009-04,2873.308901810951
2009-05,3196.979524241042
2009-06,3263.543761488209
2009-07,3479.4432395408917
2009-08,3611.4201243451653
2009-09,3692.838491279372
2009-10,3640.1483129730864
2009-11,3647.8875608485764
2009-12,3695.4956933795784
2010-01,3645.5290768312175
