Date,S&P 500 Health Care Sector
1989-09,10000
1989-10,9689.9237653046
1989-11,10003.169680410792
1989-12,9660.371347387725
1990-01,8767.454618737582
1990-02,8433.877085662827
1990-03,8882.136128330223
1990-04,8814.121089506662
1990-05,9822.630502939104
1990-06,10336.930889814865
1990-07,10340.823531760181
1990-08,9154.103240932653
1990-09,8811.619400581354
1990-10,8713.323716708474
1990-11,9352.88648111374
1990-12,9654.578918125952
1991-01,10022.595052744744
1991-02,10790.034189457314
1991-03,12320.427815254554
1991-04,12927.272784138375
1991-05,13637.649459956514
1991-06,13581.16623760006
1991-07,14679.65712705405
1991-08,14781.608713012154
1991-09,14157.631402792027
1991-10,14842.36731471418
1991-11,13880.120799457634
1991-12,15625.193331093024
1992-01,14627.092908527608
1992-02,14754.234286488747
1992-03,14405.181046506817
1992-04,14209.332216516168
1992-05,13975.699844960518
1992-06,12955.691343099337
1992-07,13104.254950345055
1992-08,12351.581219022637
1992-09,11968.8169353534
1992-10,12795.039961142902
1992-11,14027.778358000076
1992-12,13771.225634922195
1993-01,12925.299337675036
1993-02,12328.701542394316
1993-03,12507.24314680529
1993-04,12322.503625737963
1993-05,12652.820940221474
1993-06,12573.341447809908
1993-07,12106.738726511514
1993-08,12713.282329734682
1993-09,12107.592989862422
1993-10,12933.512233510766
1993-11,13624.84077563577
1993-12,13860.111127089927
1994-01,14139.166352227627
1994-02,13255.139556141425
1994-03,12265.295060523984
1994-04,12696.547882562749
1994-05,13191.921595367676
1994-06,12629.930551663088
1994-07,12407.02157842213
1994-08,13876.243206540998
1994-09,14003.56999352804
1994-10,13910.300412024812
1994-11,14253.813608031272
1994-12,14681.859121960762
1995-01,15319.392846348157
1995-02,15363.628869988557
1995-03,15199.987415355321
1995-04,15308.75760066458
1995-05,15948.316720639037
1995-06,16493.06862891553
1995-07,17086.128257975688
1995-08,17578.700770298175
1995-09,19365.317657012634
1995-10,19601.46484117079
1995-11,20615.160964508686
1995-12,22049.78328070797
1996-01,23573.279470345395
1996-02,23339.352985335616
1996-03,23323.041271656417
1996-04,23098.05860399102
1996-05,24342.01934753854
1996-06,24604.788472826145
1996-07,23080.978951212135
1996-08,23716.545024629944
1996-09,25882.583581577488
1996-10,26190.284906935405
1996-11,28018.34871471185
1996-12,27397.74484573043
1997-01,31198.14597979427
1997-02,33027.350107244754
1997-03,31143.978956518014
1997-04,33908.02969664281
1997-05,35859.83817362171
1997-06,39639.07486708256
1997-07,41564.214852596044
1997-08,39350.29364268032
1997-09,40521.341399486795
1997-10,40186.946830202556
1997-11,41082.529732016315
1997-12,44004.89621846939
1998-01,48135.46665318765
1998-02,50675.197100809506
1998-03,52707.22791159754
1998-04,53593.30511062691
1998-05,51734.238238665
1998-06,55900.988649321516
1998-07,56272.966734352296
1998-08,49760.15287141876
1998-09,53032.149660125135
1998-10,52875.57097148588
1998-11,57746.104688641346
1998-12,59883.77303111732
1999-01,61624.827540976796
1999-02,64269.70142952394
1999-03,67492.02546841875
1999-04,63844.63652749883
1999-05,62865.173511328016
1999-06,66577.87653998002
1999-07,60736.976111744014
1999-08,63518.13198319553
1999-09,57882.64543368274
1999-10,65572.25021630006
1999-11,68365.50710497906
1999-12,62602.74262791629
2000-01,68051.29007424037
2000-02,61478.565352443984
2000-03,65937.82405576916
2000-04,74850.31294154718
2000-05,77172.11276121774
2000-06,81378.81997587046
2000-07,79414.11541608536
2000-08,82988.78057776681
2000-09,88509.62375990601
2000-10,95552.94758451743
2000-11,96559.08966648548
2000-12,92632.5451514863
2001-01,85170.31360161939
2001-02,85794.55898600772
2001-03,83162.0817808855
2001-04,85014.12061324238
2001-05,90073.6182876164
2001-06,85887.76029224243
2001-07,87663.20733041267
2001-08,80843.1952635633
2001-09,82257.8306742563
2001-10,82667.83445195085
2001-11,88082.92856521712
2001-12,86108.64429137214
2002-01,87036.83035855142
2002-02,87239.61907972822
2002-03,86685.10645234487
2002-04,78758.73429368615
2002-05,74139.48906649419
2002-06,63362.42669393591
2002-07,63281.27939596299
2002-08,63736.151230155374
2002-09,59477.7599116118
2002-10,63021.50892248617
2002-11,64314.367429611644
2002-12,58742.892124523474
2003-01,56740.45125537462
2003-02,55892.434030133205
2003-03,57216.23716451852
2003-04,57960.638684157675
2003-05,55601.27340842884
2003-06,60003.338606802856
2003-07,59711.42893694719
2003-08,59583.59549855819
2003-09,56094.70942767043
2003-10,56656.13031638083
2003-11,55814.66036277124
2003-12,56120.35036857668
2004-01,58809.1573315376
2004-02,59171.37468244813
2004-03,57665.37216192701
2004-04,60829.16861787726
2004-05,59494.293758881526
2004-06,59562.70303371545
2004-07,56898.37170010257
2004-08,57571.37223596374
2004-09,55198.95994947866
2004-10,52603.492387716455
2004-11,51279.40085838351
2004-12,52909.00720362506
2005-01,53540.89317316136
2005-02,54291.91462056042
2005-03,55256.698292147456
2005-04,57164.65294310411
2005-05,60687.45668165103
2005-06,61689.682028036055
2005-07,63110.99252468699
2005-08,62394.06959960803
2005-09,62813.57595667665
2005-10,61060.59032223567
2005-11,63043.93848450581
2005-12,65035.54789729228
2006-01,64252.9527619805
2006-02,66234.856704061
2006-03,64181.67042210841
2006-04,60019.69872681809
2006-05,57341.450133037266
2006-06,58058.77440894165
2006-07,60990.88947257469
2006-08,62411.01700571938
2006-09,64258.14441822519
2006-10,64392.81933506994
2006-11,61749.42702219241
2006-12,62642.964313850876
2007-01,65658.10623491045
2007-02,62922.863347009596
2007-03,62585.743309652644
2007-04,65664.48939105865
2007-05,67430.58756032876
2007-06,64796.986079093316
2007-07,61074.51839295802
2007-08,62638.21597651037
2007-09,62363.42758622574
2007-10,62398.07810470467
2007-11,61758.13674196171
2007-12,60050.39192676556
2008-01,56586.31951506381
2008-02,54225.91365020891
2008-03,49467.33936346402
2008-04,51102.96905995379
2008-05,52243.81223113854
2008-06,49003.652971553456
2008-07,51986.91634949591
2008-08,56201.092121014786
2008-09,54275.54317836544
2008-10,53736.43793384962
2008-11,50197.07383083031
2008-12,49031.032797868
2009-01,52580.64883782911
2009-02,46636.568631097085
2009-03,47173.55437178704
2009-04,46942.168482162284
2009-05,47234.80996099582
2009-06,48361.382385376775
2009-07,51202.12534755099
2009-08,51917.5470333123
2009-09,51130.97443339529
2009-10,49461.54778793551
2009-11,53260.94822753136
2009-12,56697.45756660496
2010-01,58770.50681695555
2010-02,60653.46225576019
2010-03,62658.32962541454
2010-04,60999.519568318065
2010-05,61557.95712192359
2010-06,60710.01187845516
2010-07,57953.067944165574
2010-08,58657.71759710645
2010-09,59418.57419798016
2010-10,59768.49964741922
2010-11,61887.33430963992
2010-12,62899.22854860875
2011-01,61692.68442276893
2011-02,62975.46498428905
2011-03,62483.60100916067
2011-04,63629.97344097484
2011-05,67322.49287708684
2011-06,66254.42332238174
2011-07,64554.57085877169
2011-08,62383.891552694906
2011-09,63809.92421495169
2011-10,65081.23871701123
2011-11,68610.7755414363
2011-12,73226.81525122779
2012-01,74140.25073258378
2012-02,73603.92496519082
2012-03,77368.83186558702
2012-04,78030.50829999772
2012-05,80137.34796003235
2012-06,83511.24561217261
2012-07,86497.27154421769
2012-08,85131.01096441032
2012-09,86322.53887371195
2012-10,85640.92593931338
2012-11,86186.0677421955
2012-12,84657.36652869036
2013-01,88596.00438868719
2013-02,92611.1591465726
2013-03,101022.66331561877
2013-04,101827.19102560446
2013-05,104023.32851755439
2013-06,102691.72960575946
2013-07,108558.62564913009
2013-08,105087.01784667457
2013-09,106241.85438738194
2013-10,109716.18310962713
2013-11,115135.87271878493
2013-12,114571.53303418602
2014-01,117995.79824821877
2014-02,122586.76508222922
2014-03,121254.57279079221
2014-04,120112.82148459423
2014-05,125661.93358098465
2014-06,127933.69184653535
2014-07,130789.17457164185
2014-08,139124.72314995146
2014-09,146437.83556573917
2014-10,155005.02058017417
2014-11,160762.01114649582
2014-12,163116.10627781623
2015-01,177326.29929382456
2015-02,186063.08146977535
2015-03,196088.86737602082
2015-04,185595.3128704437
2015-05,198337.60025168883
2015-06,193911.46496732233
2015-07,203384.76438875572
2015-08,183212.79260447604
2015-09,173009.10735365932
2015-10,189567.50495411552
2015-11,196601.69241342184
2015-12,194439.1019042585
2016-01,179129.45766291395
2016-02,178771.4086548657
2016-03,175708.13089737762
2016-04,180569.974399557
2016-05,188654.749985198
2016-06,191476.94334240878
2016-07,200736.77069062274
2016-08,193743.4005086704
2016-09,192259.08498278583
2016-10,183242.96573495018
2016-11,192282.35772375032
2016-12,195415.62336237746
2017-01,195827.45074558258
2017-02,211535.9641826367
2017-03,208803.54098928237
2017-04,207389.24496118864
2017-05,203659.22341143523
2017-06,209500.76220699455
2017-07,205453.56865904309
2017-08,207515.89062786408
2017-09,209909.55249505898
