Date,EMERGING MARKETS WITH PARTIAL A SHARES
2008-11,1052.9493849223734
2008-12,1134.9323121120804
2009-01,1062.6997143568844
2009-02,1003.4204575268544
2009-03,1147.6113185492359
2009-04,1337.9954375418483
2009-05,1566.5132264376223
2009-06,1547.313115301242
2009-07,1722.9453785408537
2009-08,1714.4592877688622
2009-09,1870.2791926750513
2009-10,1873.6146785223204
2009-11,1954.5496604031941
2009-12,2031.8029642717877
2010-01,1918.4426653926657
2010-02,1926.319561752039
2010-03,2081.757900454369
2010-04,2106.9745544546977
2010-05,1922.0457797217696
2010-06,1908.1678853575563
2010-07,2068.976916365114
2010-08,2029.514831410816
2010-09,2254.5524335932014
2010-10,2321.4528881143274
2010-11,2260.6267551034093
2010-12,2421.248129891813
2011-01,2356.163383077454
2011-02,2334.781046861174
2011-03,2471.571257906318
2011-04,2548.796501272426
2011-05,2483.437986572452
2011-06,2446.762947927092
2011-07,2437.5996741355766
2011-08,2221.1980082774307
2011-09,1898.3669134585082
2011-10,2149.0896567685827
2011-11,2006.2069682310937
2011-12,1982.1531299796604
2012-01,2206.3721076754086
2012-02,2338.782859890298
2012-03,2260.7147451980773
2012-04,2235.025427157641
2012-05,1986.4676869835666
2012-06,2063.2641129944113
2012-07,2104.327378738629
2012-08,2097.625156831058
2012-09,2224.5230434277164
2012-10,2211.4241552351205
2012-11,2239.1031281708815
2012-12,2350.9346019159725
2013-01,2384.7958707890775
2013-02,2355.198118529951
2013-03,2314.324744174932
2013-04,2332.6515047304506
2013-05,2276.120087120816
2013-06,2130.6510518867094
2013-07,2154.228395571554
2013-08,2119.7275340458104
2013-09,2257.5172204620353
2013-10,2366.6788554167424
2013-11,2333.98330742177
2013-12,2300.6140731455944
2014-01,2152.649002687639
2014-02,2223.0908720245006
2014-03,2289.954970810085
2014-04,2297.6776061885416
2014-05,2378.018110497153
2014-06,2442.6146611970084
2014-07,2493.9255590018793
2014-08,2550.9001107840163
2014-09,2364.516940797333
2014-10,2393.1423140416205
2014-11,2370.2810407616453
2014-12,2267.859945935561
2015-01,2280.6349572821528
2015-02,2351.1982470564185
2015-03,2324.7258996810765
2015-04,2513.2643792905064
2015-05,2417.2289847579855
2015-06,2351.9210805578514
2015-07,2186.383973774474
2015-08,1986.6701408345791
2015-09,1927.948407437611
2015-10,2067.3385049392255
2015-11,1987.941137535294
2015-12,1945.3131808066967
2016-01,1808.5660001928766
2016-02,1805.6505119216547
2016-03,2044.1847468258886
2016-04,2055.11392681036
2016-05,1982.430448961423
2016-06,2061.9766295692975
2016-07,2165.9396956788546
2016-08,2222.8128813101466
2016-09,2251.2530277499527
2016-10,2256.3356120522553
2017-04,2459.694269
2017-05,2532.066711
2017-06,2560.429995
2017-07,2714.645203
2017-08,2777.130141
2017-09,2767.993687
2017-10,2864.823933
2017-11,2868.99236
2017-12,2973.548164
2018-01,3222.960215
2018-02,3073.360692
2018-03,3018.0199577975495
2018-04,3004.8458474280133
2018-05,2903.137509858136
2018-06,2783.355899880427
2018-07,2846.2548019960564
2018-08,2769.583832115814
2018-09,2755.7850838395134
2018-10,2515.9206730681585
2018-11,2619.773501491651
2018-12,2551.904919725034
2019-01,2775.411700544036
2019-02,2782.5998891687314
2019-03,2806.83637867219
2019-04,2866.1999313796473
2019-05,2659.700777382777
2019-06,2827.547368155017
2019-07,2794.829571951961
2019-08,2659.8498186956317
2019-09,2712.1201168114167
2019-10,2827.095871529065
2019-11,2824.2221638300393
2019-12,3036.1042321821064
2020-01,2892.457950388749
2020-02,2735.423421897915
2020-03,2307.217798579443
2020-04,2520.9563371851946
2020-05,2543.4055073952363
2020-06,2728.82881327794
2020-07,2969.1166696779446
2020-08,3032.4474089748855
2020-09,2987.5995533021937
2020-10,3048.34885817447
2020-11,3334.105359752933
2020-12,3580.069202812333
